Total_Funding_USD_M,Burn_Rate_USD_M,Runway_Months,Revenue_USD_M,Revenue_Growth_Rate,Net_Profit_Margin,CAC,LTV,LTV_CAC_Ratio,ARR_USD_M,Churn_Rate,Novelty_Score,Sustainability_Alignment,Sentiment_Score,Social_Buzz_Score,label
15.859,0.653,12.15,13.456,0.226,0.098,0.207,0.777,3.746,11.423,0.066,0.053,0,-0.319,0.594,1
29.491,0.462,31.92,14.625,0.225,0.212,0.678,1.264,1.863,13.849,0.155,0.629,0,-0.388,0.087,0
30.049,0.561,26.77,16.761,0.593,-0.132,0.274,0.849,3.094,7.37,0.111,0.558,1,0.8,0.276,1
17.556,0.938,9.36,14.74,0.549,-0.044,0.275,0.753,2.738,8.084,0.095,0.662,1,-0.023,0.518,1
41.11,0.967,21.27,12.468,0.392,0.235,0.294,1.659,5.635,8.17,0.029,0.712,0,0.161,0.233,1
19.273,0.396,24.35,7.663,0.502,-0.3,0.364,1.88,5.16,5.026,0.105,0.178,1,0.067,0.123,1
29.596,0.589,25.11,12.076,0.292,-0.214,0.301,1.82,6.053,14.089,0.016,0.08,1,0.012,0.223,1
21.695,0.623,17.42,6.913,0.348,0.004,0.33,1.901,5.76,3.892,0.145,0.066,0,-0.194,0.499,1
21.513,0.353,30.43,10.469,0.218,-0.1,0.05,1.594,8.0,4.711,0.101,0.149,1,-0.009,0.134,1
8.025,0.586,6.85,9.786,0.531,-0.009,0.359,1.463,4.081,6.678,0.039,0.878,0,0.218,0.4,1
10.58,0.601,8.8,10.105,0.211,-0.203,0.353,1.063,3.015,5.129,0.12,0.674,1,0.597,0.418,1
16.246,0.885,9.18,5.39,0.647,0.093,0.506,1.38,2.728,2.702,0.192,0.714,1,0.432,0.22,1
29.947,0.902,16.6,1.783,0.287,0.02,0.546,0.939,1.719,1.295,0.069,0.592,1,-0.327,0.257,0
21.835,0.518,21.09,8.88,0.354,0.16,0.322,1.177,3.658,5.729,0.108,0.47,1,0.446,0.554,1
16.316,0.547,14.93,18.669,0.502,0.09,0.472,1.644,3.481,8.838,0.058,0.534,0,0.266,0.594,1
24.544,0.766,16.02,11.453,0.355,0.091,0.185,1.541,8.0,10.118,0.084,0.693,0,-0.119,0.345,1
29.451,0.454,32.46,18.011,0.29,-0.239,0.465,3.132,6.735,14.433,0.005,0.242,1,0.164,0.478,1
18.721,0.747,12.53,6.937,0.344,0.149,0.264,0.927,3.51,3.203,0.08,0.375,0,0.3,0.249,1
20.661,0.578,17.87,8.655,0.529,-0.016,0.172,1.537,8.0,9.435,0.082,0.302,0,0.116,0.018,1
19.469,0.358,27.22,29.945,0.217,0.017,0.322,0.888,2.757,18.799,0.17,0.538,1,0.268,0.141,1
18.18,0.361,25.2,7.163,0.325,0.26,0.56,1.406,2.511,8.374,0.0,0.265,0,-0.202,0.027,1
12.709,0.962,6.61,14.485,0.352,-0.094,0.377,1.426,3.782,16.589,0.066,0.788,0,0.797,0.259,1
12.233,0.561,10.9,14.474,0.523,0.32,0.574,2.022,3.521,10.816,0.144,0.348,0,-0.575,0.029,1
24.475,1.01,12.12,13.701,0.33,0.339,0.238,1.375,5.786,7.986,0.068,0.622,0,0.302,0.09,1
29.703,0.472,31.49,14.575,0.712,0.201,0.507,1.504,2.966,15.564,0.071,0.662,1,0.228,0.224,1
16.301,0.673,12.11,7.108,0.319,-0.146,0.252,1.385,5.492,4.898,0.038,0.494,0,0.325,0.67,1
16.124,1.198,6.73,9.101,0.302,-0.387,0.384,0.899,2.344,4.831,0.033,0.533,0,-0.148,0.415,0
6.892,0.336,10.27,2.135,0.316,0.266,0.383,1.274,3.331,1.796,0.0,0.793,1,0.509,0.265,1
6.207,0.126,24.72,21.779,0.087,0.072,0.449,1.409,3.137,17.238,0.049,0.315,0,0.062,0.4,1
33.106,0.922,17.96,14.532,0.143,-0.099,0.388,1.637,4.223,15.695,0.031,0.414,1,-0.315,0.217,1
13.114,0.393,16.67,7.705,0.244,0.285,0.239,1.879,7.86,7.578,0.086,0.693,0,-0.283,0.499,1
48.365,0.595,40.66,6.978,0.577,-0.122,0.482,1.483,3.076,7.682,0.041,0.57,0,0.144,0.05,1
14.237,0.454,15.7,18.827,0.343,-0.035,0.61,1.474,2.417,18.596,0.056,0.718,0,-0.459,0.319,1
8.166,0.667,6.12,7.421,0.253,0.155,0.262,0.74,2.818,6.781,0.057,0.252,1,0.73,0.391,1
19.54,0.362,26.96,7.693,0.595,-0.173,0.075,1.87,8.0,6.155,0.078,0.245,1,0.467,0.227,1
26.368,0.555,23.75,6.197,0.66,0.028,0.425,1.252,2.947,7.375,0.054,0.637,0,0.739,0.265,1
25.058,0.712,17.59,15.872,0.601,0.268,0.3,1.974,6.571,18.528,0.027,0.33,0,0.702,0.342,1
27.549,0.348,39.59,17.882,0.179,0.092,0.33,2.258,6.836,19.297,0.084,0.368,0,-0.023,0.062,1
11.476,0.425,13.5,9.817,0.251,0.299,0.433,1.506,3.475,10.015,0.133,0.772,0,-0.204,0.655,1
32.752,0.513,31.91,17.939,0.713,0.277,0.282,1.088,3.866,15.464,0.086,0.405,0,-0.837,0.101,1
33.614,0.243,48.0,13.134,0.398,0.052,0.31,1.592,5.14,7.983,0.05,0.658,1,-0.042,0.509,1
34.274,0.494,34.66,5.993,0.296,-0.417,0.335,1.774,5.297,6.594,0.074,0.176,1,0.718,0.382,1
20.988,0.63,16.67,21.01,0.494,-0.171,0.57,1.442,2.528,8.586,0.0,0.349,0,-0.19,0.067,1
15.712,0.5,15.71,6.162,0.551,0.203,0.355,1.318,3.718,3.586,0.073,0.898,0,0.027,0.097,1
15.053,0.532,14.14,10.182,0.236,-0.26,0.165,1.882,8.0,7.361,0.06,0.879,0,-0.094,0.117,1
8.143,0.595,6.84,9.831,0.394,-0.015,0.171,1.849,8.0,8.543,0.033,0.271,0,0.231,0.167,1
14.387,0.436,16.5,8.955,0.535,0.118,0.371,1.427,3.847,7.6,0.042,0.173,0,0.55,0.179,1
4.68,0.773,3.03,3.451,0.118,0.344,0.181,0.773,4.28,1.866,0.059,0.661,1,-0.439,0.597,1
7.557,0.959,3.94,26.895,0.352,-0.065,0.116,1.828,8.0,13.013,0.13,0.154,0,-0.372,0.177,1
20.89,0.484,21.58,3.745,0.127,-0.079,0.445,1.216,2.731,2.164,0.135,0.354,0,0.62,0.146,0
16.562,0.721,11.48,21.65,0.153,0.04,0.453,1.707,3.771,14.699,0.034,0.71,0,0.357,0.11,1
20.48,0.54,18.96,6.851,0.237,0.12,0.295,1.676,5.684,2.817,0.054,0.834,0,0.009,0.511,1
25.465,0.691,18.42,8.088,0.445,0.019,0.394,0.656,1.664,7.716,0.055,0.474,1,0.697,0.08,1
22.195,0.991,11.19,20.617,0.286,0.26,0.378,1.641,4.338,12.333,0.12,0.761,1,-0.378,0.532,1
21.347,0.727,14.68,13.833,0.22,-0.11,0.44,1.857,4.218,9.422,0.087,0.819,1,0.426,0.601,1
17.924,0.157,48.0,4.999,0.36,0.074,0.441,1.919,4.353,3.339,0.085,0.129,1,0.076,0.191,1
12.883,0.713,9.03,4.94,0.121,0.139,0.05,1.659,8.0,3.999,0.107,0.956,0,0.312,0.463,1
9.846,0.908,5.42,12.841,0.436,-0.03,0.314,0.611,1.948,13.969,0.05,0.649,1,-0.736,0.261,0
14.57,0.545,13.38,6.103,0.576,0.218,0.428,2.239,5.234,3.17,0.148,0.267,1,0.009,0.102,1
18.063,0.849,10.64,14.154,0.334,0.08,0.288,1.806,6.26,9.52,0.08,0.54,0,0.358,0.317,1
19.112,0.427,22.35,14.869,0.309,0.208,0.355,0.998,2.809,14.179,0.037,0.746,0,0.078,0.419,1
27.576,0.229,48.0,7.246,0.425,0.089,0.463,1.206,2.607,3.155,0.069,0.265,1,0.539,0.429,1
17.321,0.635,13.63,8.318,-0.056,0.125,0.362,1.716,4.737,8.851,0.142,0.376,1,0.528,0.265,1
23.818,0.161,48.0,13.049,0.457,-0.076,0.576,1.94,3.367,15.261,0.059,0.251,0,-0.235,0.041,1
8.741,0.54,8.09,7.076,0.97,-0.076,0.519,1.356,2.613,6.27,0.127,0.722,1,0.388,0.049,1
21.024,0.922,11.4,11.461,0.325,0.295,0.332,2.013,6.059,13.355,0.049,0.45,1,-0.247,0.198,1
20.356,0.123,48.0,30.842,0.326,0.177,0.32,0.704,2.197,22.528,0.042,0.331,1,0.119,0.458,1
32.757,0.28,48.0,13.359,0.499,-0.155,0.05,1.079,8.0,9.779,0.113,0.682,0,0.33,0.157,1
16.569,0.342,24.22,9.021,0.679,0.086,0.301,0.568,1.886,4.375,0.036,0.452,0,-0.192,0.299,1
16.241,0.584,13.9,28.244,0.545,-0.425,0.147,1.151,7.831,12.098,0.121,0.232,1,0.375,0.213,1
25.545,0.509,25.11,16.429,-0.081,-0.065,0.383,2.354,6.143,9.785,0.098,0.788,0,-0.077,0.144,1
10.234,0.95,5.39,6.184,0.463,0.242,0.373,2.629,7.049,4.839,0.036,0.71,0,-0.103,0.211,1
20.776,0.839,12.39,6.833,0.864,0.025,0.454,1.717,3.779,5.508,0.076,0.802,1,0.347,0.363,1
9.971,0.724,6.89,4.014,0.474,0.074,0.56,1.281,2.289,2.304,0.053,0.883,0,-0.193,0.075,0
39.242,0.636,30.83,12.932,0.119,-0.553,0.346,1.489,4.303,11.512,0.097,0.287,0,-0.21,0.125,1
15.238,0.698,10.91,3.073,0.406,-0.028,0.692,1.837,2.654,1.675,0.174,0.57,1,0.464,0.486,0
9.641,0.385,12.54,28.227,0.094,0.118,0.385,0.819,2.127,18.657,0.061,0.348,0,0.138,0.081,0
14.52,0.814,8.92,9.587,0.597,0.143,0.153,1.314,8.0,5.336,0.107,0.294,1,-0.409,0.368,1
20.834,0.322,32.35,16.928,0.159,0.242,0.266,2.317,8.0,16.206,0.081,0.256,0,0.399,0.158,1
23.484,0.809,14.52,9.142,0.365,0.008,0.294,1.077,3.663,7.435,0.081,0.545,0,-0.042,0.083,1
31.987,0.897,17.84,12.819,0.178,0.017,0.439,1.225,2.793,12.676,0.072,0.601,0,-0.391,0.277,1
13.688,0.653,10.49,10.253,0.241,-0.216,0.208,1.607,7.727,4.571,0.037,0.632,0,-0.778,0.447,1
26.066,0.556,23.44,11.296,0.647,0.009,0.305,1.742,5.704,8.362,0.097,0.67,0,0.416,0.098,1
7.561,0.7,5.4,19.514,0.371,-0.202,0.326,1.287,3.951,22.901,0.066,0.777,1,-0.201,0.394,1
11.08,0.05,48.0,24.126,0.238,-0.32,0.283,1.638,5.794,10.685,0.035,0.206,1,-0.335,0.12,1
8.869,0.676,6.56,23.205,0.121,-0.167,0.472,1.904,4.036,17.049,0.131,0.914,0,0.324,0.351,1
12.528,0.572,10.96,42.521,-0.024,0.352,0.446,2.581,5.784,18.383,0.085,0.298,0,0.382,0.346,1
25.539,0.587,21.74,7.496,0.1,-0.004,0.525,1.537,2.927,3.878,0.069,0.64,1,-0.175,0.248,1
13.848,0.777,8.92,13.443,0.372,0.094,0.3,1.579,5.258,10.352,0.147,0.47,0,0.419,0.339,1
15.112,0.581,13.0,7.59,0.546,-0.053,0.53,2.364,4.457,3.992,0.0,0.082,0,0.819,0.05,1
21.088,0.315,33.48,19.12,0.238,-0.308,0.145,1.325,8.0,15.583,0.144,0.823,0,0.571,0.06,1
23.041,0.565,20.4,6.352,0.664,0.237,0.142,0.938,6.616,7.229,0.036,0.784,0,0.517,0.083,1
15.331,0.617,12.43,19.681,0.206,-0.384,0.168,1.725,8.0,11.028,0.091,0.506,0,0.21,0.213,1
11.041,0.629,8.78,12.216,0.302,-0.061,0.351,2.138,6.085,5.934,0.051,0.891,0,-0.055,0.547,1
36.334,0.64,28.36,10.554,0.134,0.039,0.53,1.781,3.357,11.189,0.034,0.478,1,0.08,0.297,1
15.379,0.86,8.94,11.18,0.548,0.096,0.26,1.551,5.975,8.589,0.146,0.612,0,0.254,0.421,1
16.11,0.328,24.52,5.735,0.77,-0.095,0.278,0.876,3.145,6.343,0.173,0.47,0,-0.34,0.215,1
17.073,0.644,13.26,6.009,-0.002,-0.318,0.318,1.571,4.946,3.875,0.069,0.665,0,-0.169,0.055,1
24.136,0.922,13.08,12.326,0.281,-0.11,0.436,2.217,5.085,11.118,0.097,0.71,0,-0.4,0.216,1
8.502,0.166,25.56,12.284,0.603,-0.1,0.278,0.983,3.531,13.987,0.083,0.781,1,0.182,0.296,1
42.615,0.645,33.04,7.776,0.061,-0.105,0.27,1.478,5.473,4.178,0.167,0.506,1,0.129,0.404,1
15.901,0.454,17.53,9.533,0.463,0.244,0.148,1.406,8.0,9.92,0.0,0.349,1,-0.128,0.249,1
24.504,0.507,24.15,14.01,0.594,-0.193,0.264,1.251,4.735,12.682,0.099,0.967,0,0.387,0.168,1
9.698,0.374,12.97,7.055,0.366,0.11,0.527,1.724,3.274,7.41,0.044,0.822,0,-0.266,0.078,1
20.124,0.558,18.04,3.734,0.46,0.082,0.364,1.822,5.01,2.003,0.0,0.933,0,-0.141,0.36,1
39.619,1.06,18.68,22.165,0.702,0.242,0.239,1.816,7.599,16.563,0.062,0.088,0,0.373,0.163,1
37.106,0.284,48.0,12.763,0.74,0.023,0.535,1.112,2.076,6.421,0.172,0.512,0,0.425,0.167,1
24.215,0.308,39.36,8.53,0.338,0.208,0.262,0.777,2.963,9.964,0.047,0.464,0,-0.179,0.304,1
12.119,0.275,22.07,7.577,0.244,0.016,0.563,1.731,3.075,3.411,0.12,0.824,0,0.181,0.415,1
31.227,1.032,15.13,7.017,0.166,0.137,0.561,1.347,2.403,3.175,0.14,0.69,0,-0.173,0.205,0
7.531,0.484,7.77,19.083,0.545,-0.251,0.358,2.519,7.029,21.345,0.079,0.61,0,0.031,0.087,1
11.904,0.594,10.03,5.194,0.076,-0.478,0.125,2.542,8.0,3.327,0.086,0.477,0,0.15,0.163,1
17.971,0.499,18.0,13.426,0.299,0.126,0.693,2.595,3.743,11.783,0.0,0.406,0,0.296,0.271,1
7.897,0.364,10.85,13.42,0.371,0.136,0.408,1.13,2.769,8.455,0.044,0.255,1,0.211,0.244,1
14.504,0.541,13.4,16.015,0.249,0.145,0.301,1.885,6.253,14.717,0.125,0.311,0,0.196,0.164,1
26.303,1.215,10.83,8.967,0.406,-0.055,0.493,2.035,4.125,4.967,0.083,0.506,0,-0.277,0.101,1
13.153,0.948,6.94,21.237,0.863,0.348,0.455,1.979,4.347,16.291,0.098,0.609,0,0.236,0.303,1
26.86,0.387,34.72,16.249,0.326,-0.042,0.547,1.423,2.603,13.435,0.087,0.404,0,0.293,0.221,1
47.751,0.762,31.34,8.807,0.263,0.134,0.251,2.24,8.0,5.874,0.19,0.862,1,0.341,0.458,1
22.221,0.392,28.33,7.386,0.553,0.169,0.398,1.6,4.023,4.442,0.058,0.596,0,-0.152,0.056,1
26.651,0.156,48.0,10.268,0.398,0.394,0.172,1.664,8.0,5.259,0.16,0.139,1,0.42,0.212,1
31.706,0.855,18.54,8.652,0.638,-0.013,0.45,0.831,1.847,8.348,0.087,0.775,1,-0.361,0.298,1
15.151,0.89,8.51,6.739,0.383,-0.081,0.347,1.922,5.547,3.603,0.165,0.648,0,-0.051,0.242,1
26.368,0.862,15.3,11.435,0.3,-0.25,0.392,1.47,3.748,7.246,0.019,0.618,1,0.004,0.325,1
14.976,0.483,15.52,9.566,-0.007,0.36,0.328,1.832,5.586,6.404,0.089,0.541,1,-0.342,0.176,1
21.514,0.558,19.27,23.725,0.026,0.134,0.312,1.718,5.499,18.114,0.06,0.484,1,-0.002,0.171,1
28.161,0.787,17.88,8.645,-0.017,0.141,0.22,1.69,7.692,8.317,0.087,0.434,0,0.178,0.481,1
12.396,0.698,8.88,7.35,0.426,0.5,0.469,1.577,3.366,5.457,0.141,0.757,1,-0.539,0.304,1
4.938,0.502,4.92,11.059,0.078,0.115,0.573,1.993,3.476,12.13,0.099,0.291,0,-0.038,0.408,0
11.823,0.195,30.28,12.56,0.601,-0.21,0.266,1.501,5.631,11.854,0.141,0.572,0,-0.512,0.472,1
30.03,0.628,23.89,13.047,0.356,0.011,0.433,0.872,2.015,13.97,0.046,0.541,1,0.815,0.244,1
11.101,0.87,6.38,12.983,0.301,-0.145,0.415,1.884,4.543,12.633,0.039,0.484,0,0.174,0.333,1
29.279,0.301,48.0,11.251,0.181,-0.029,0.351,1.195,3.404,5.838,0.081,0.683,0,0.144,0.195,1
11.852,0.76,7.8,10.836,0.474,-0.031,0.121,0.938,7.75,12.812,0.078,0.863,0,0.181,0.489,1
16.817,0.683,12.31,14.911,0.189,-0.067,0.155,1.089,7.036,15.347,0.071,0.311,0,0.312,0.017,1
18.549,0.788,11.78,6.405,0.153,-0.229,0.233,1.742,7.48,5.496,0.032,0.321,0,0.442,0.113,1
11.075,0.818,6.77,7.379,0.588,0.369,0.05,1.552,8.0,3.927,0.14,0.346,0,-0.447,0.355,1
16.905,0.426,19.82,4.451,0.421,0.11,0.561,0.534,0.951,2.395,0.062,0.127,0,0.559,0.417,0
8.154,0.196,20.83,6.463,0.303,0.005,0.405,1.408,3.476,5.761,0.151,0.523,1,0.536,0.338,1
15.795,0.467,16.93,18.162,0.478,0.202,0.346,2.185,6.323,13.312,0.081,0.465,0,0.077,0.281,1
17.848,0.822,10.85,14.599,0.352,0.144,0.05,1.374,8.0,13.733,0.112,0.667,1,0.058,0.279,1
5.081,0.464,5.47,25.286,0.427,0.105,0.076,1.517,8.0,17.648,0.108,0.707,0,-0.986,0.374,1
11.774,0.426,13.8,22.325,0.187,0.187,0.35,2.121,6.068,18.089,0.039,0.369,1,-0.335,0.275,1
21.217,0.145,48.0,14.661,0.764,0.077,0.646,1.998,3.095,8.069,0.098,0.489,1,0.282,0.405,1
10.446,1.038,5.03,11.894,0.234,0.184,0.245,2.111,8.0,6.234,0.176,0.529,1,0.52,0.388,1
22.81,0.806,14.14,11.168,0.661,0.201,0.48,0.214,0.446,5.143,0.093,0.736,0,0.355,0.377,1
23.821,0.792,15.03,2.953,0.312,0.083,0.278,2.467,8.0,3.118,0.125,0.293,0,0.073,0.415,1
21.175,0.842,12.58,10.541,0.511,0.006,0.358,1.918,5.354,8.9,0.115,0.531,1,0.774,0.222,1
26.226,0.744,17.62,8.085,0.497,0.356,0.532,2.831,5.319,9.36,0.095,0.132,1,0.452,0.274,1
7.877,0.539,7.31,6.623,0.579,-0.046,0.298,1.209,4.055,6.62,0.089,0.14,0,-0.038,0.265,1
28.73,0.559,25.69,13.508,0.182,0.128,0.246,0.718,2.914,13.711,0.107,0.16,1,0.864,0.351,1
11.163,0.493,11.32,9.893,0.565,0.133,0.563,1.604,2.85,7.986,0.118,0.526,1,-0.284,0.056,1
19.536,1.259,7.76,11.519,0.719,-0.072,0.357,1.462,4.098,12.122,0.012,0.25,0,-0.415,0.296,1
38.906,0.739,26.32,6.091,0.298,-0.112,0.514,1.927,3.751,7.027,0.092,0.205,1,-0.047,0.448,1
15.635,0.484,16.15,16.595,0.357,-0.021,0.247,2.137,8.0,16.22,0.071,0.324,1,-0.166,0.388,1
18.766,0.716,13.1,8.623,0.245,-0.048,0.561,1.556,2.774,4.177,0.06,0.539,0,-0.028,0.387,0
11.198,0.347,16.12,13.152,0.281,-0.242,0.391,1.48,3.784,12.11,0.145,0.824,0,0.379,0.324,1
38.732,0.976,19.84,9.01,0.692,-0.08,0.415,1.861,4.483,4.472,0.043,0.604,0,0.088,0.373,1
11.787,0.435,13.56,2.614,0.149,0.103,0.37,1.472,3.981,1.207,0.01,0.257,0,0.097,0.124,1
24.757,0.725,17.07,13.782,0.162,0.303,0.274,1.43,5.216,13.152,0.12,0.14,0,0.121,0.535,1
31.681,0.866,18.28,10.23,0.672,0.161,0.35,2.119,6.057,10.924,0.009,0.031,1,-0.709,0.036,1
25.819,0.696,18.54,4.268,0.475,-0.47,0.284,2.23,7.862,2.25,0.0,0.612,0,-0.43,0.467,1
21.769,0.624,17.45,5.678,0.774,0.178,0.494,2.142,4.337,2.608,0.125,0.22,1,-0.035,0.029,1
19.399,0.603,16.09,16.836,0.26,-0.062,0.32,1.516,4.744,18.675,0.088,0.665,1,-0.195,0.542,1
9.648,0.586,8.23,4.394,0.375,0.141,0.126,0.53,4.223,2.222,0.104,0.853,1,0.019,0.354,1
37.947,0.456,41.62,8.503,0.218,0.047,0.098,1.526,8.0,3.64,0.058,0.915,0,0.591,0.273,1
20.96,0.488,21.49,26.381,0.379,0.011,0.091,1.221,8.0,25.77,0.011,0.521,0,0.074,0.307,1
18.771,0.97,9.68,13.959,-0.005,0.03,0.443,1.535,3.468,15.051,0.021,0.789,1,-0.363,0.277,1
10.723,0.573,9.36,15.693,0.487,0.046,0.177,1.264,7.133,12.736,0.066,0.474,0,-0.178,0.017,1
19.193,0.404,23.78,9.451,0.415,0.319,0.395,1.59,4.024,7.863,0.016,0.219,0,0.699,0.244,1
18.228,0.471,19.35,4.045,0.338,0.046,0.37,1.08,2.916,2.708,0.095,0.841,0,0.636,0.36,1
38.906,0.875,22.23,12.081,0.272,0.267,0.34,0.96,2.82,7.137,0.057,0.779,0,0.309,0.608,1
18.766,0.769,12.2,5.907,0.171,0.238,0.416,2.211,5.319,5.931,0.089,0.31,1,-0.447,0.27,1
19.051,0.74,12.87,5.584,0.496,0.183,0.374,1.115,2.984,6.028,0.088,0.631,0,0.207,0.211,1
10.789,0.536,10.07,11.383,0.116,-0.307,0.05,1.6,8.0,7.479,0.099,0.33,0,0.234,0.033,1
12.933,0.743,8.7,6.142,0.452,0.273,0.301,2.077,6.891,3.803,0.105,0.765,0,0.109,0.177,1
23.442,0.439,26.69,10.724,0.765,-0.042,0.414,2.057,4.972,6.587,0.063,0.456,0,-0.1,0.261,1
7.093,0.535,6.63,7.513,0.647,0.193,0.596,1.997,3.351,3.309,0.089,0.791,0,-0.027,0.376,1
28.66,0.842,17.01,10.534,0.049,-0.145,0.603,1.751,2.905,6.582,0.092,0.665,1,-0.124,0.132,1
29.008,0.819,17.72,8.212,0.243,-0.187,0.146,1.962,8.0,3.453,0.0,0.619,1,-0.301,0.476,1
12.275,0.355,17.31,10.684,0.434,0.445,0.298,2.287,7.685,11.013,0.112,0.737,1,0.578,0.317,1
21.806,0.386,28.24,21.414,0.336,-0.141,0.115,1.813,8.0,12.95,0.087,0.147,0,0.409,0.237,1
32.146,0.627,25.63,15.869,0.07,0.279,0.578,0.681,1.179,15.109,0.108,0.359,0,0.0,0.516,0
17.547,1.032,8.51,10.08,0.427,0.074,0.502,1.336,2.661,8.412,0.016,0.677,0,0.223,0.254,1
16.043,0.121,48.0,19.738,0.348,-0.034,0.403,1.948,4.839,21.119,0.064,0.752,1,0.236,0.477,1
16.974,0.67,12.68,13.246,0.733,0.041,0.375,1.286,3.431,15.476,0.025,0.789,1,0.92,0.34,1
20.938,0.256,40.9,19.07,0.299,-0.21,0.557,2.41,4.326,13.231,0.117,0.099,1,0.405,0.291,1
13.749,0.441,15.57,4.687,0.584,0.047,0.532,1.568,2.95,2.206,0.01,0.485,0,0.392,0.239,1
15.404,0.509,15.13,6.182,0.097,-0.167,0.524,1.643,3.137,6.18,0.034,0.252,0,0.113,0.078,0
21.128,0.495,21.35,12.01,0.144,-0.029,0.419,2.162,5.167,5.009,0.107,0.119,1,-0.052,0.068,1
14.809,0.467,15.87,9.951,0.494,0.235,0.298,1.509,5.069,5.755,0.049,0.618,0,0.584,0.258,1
10.318,0.602,8.57,10.697,0.567,0.101,0.465,1.688,3.63,4.735,0.034,0.201,1,0.328,0.299,1
6.758,0.466,7.25,14.326,0.159,-0.246,0.472,2.05,4.339,16.024,0.125,0.566,1,-0.19,0.153,1
18.935,0.234,40.39,12.071,0.355,0.22,0.321,0.864,2.688,4.879,0.127,0.362,0,0.259,0.373,0
31.247,0.795,19.65,16.625,0.074,0.049,0.297,1.457,4.902,13.203,0.116,0.581,1,0.393,0.071,1
22.301,0.788,14.15,16.4,0.314,-0.058,0.52,2.015,3.874,12.123,0.122,0.657,1,-0.634,0.221,1
10.519,0.811,6.49,6.346,0.517,0.199,0.6,1.633,2.723,5.852,0.068,0.457,1,-0.223,0.364,1
12.887,0.215,30.0,2.676,0.263,0.017,0.238,2.334,8.0,1.691,0.07,0.259,0,0.227,0.322,1
15.987,0.675,11.85,6.118,0.3,-0.183,0.31,0.812,2.615,6.724,0.048,0.822,0,-0.574,0.178,1
39.47,0.769,25.66,5.898,0.124,0.42,0.403,0.755,1.875,5.824,0.088,0.159,1,-0.518,0.304,0
40.441,0.342,48.0,11.111,0.22,0.047,0.423,1.985,4.692,8.287,0.054,0.237,0,0.005,0.117,1
38.291,0.602,31.79,11.039,0.702,0.034,0.272,2.033,7.484,7.577,0.058,0.35,0,0.272,0.416,1
19.822,0.571,17.36,9.642,0.365,-0.031,0.633,1.503,2.377,10.15,0.11,0.196,0,0.288,0.364,0
61.812,1.061,29.14,13.502,0.15,0.286,0.413,1.8,4.356,13.578,0.139,0.087,0,0.654,0.238,1
13.198,1.081,6.1,32.155,0.287,-0.055,0.43,1.973,4.591,23.126,0.1,0.741,1,0.129,0.122,1
15.711,0.184,42.71,9.532,0.031,-0.259,0.614,1.193,1.944,6.416,0.17,0.759,0,-0.03,0.227,0
27.67,1.223,11.31,12.264,0.147,-0.086,0.283,1.247,4.41,5.287,0.045,0.472,0,-0.358,0.511,1
21.179,0.371,28.53,10.696,0.622,0.315,0.337,1.695,5.033,4.978,0.0,0.451,0,-0.035,0.118,1
21.729,0.845,12.85,7.823,0.322,0.216,0.162,2.052,8.0,3.467,0.116,0.377,0,0.348,0.247,1
6.433,0.843,3.82,14.392,0.728,-0.001,0.324,1.017,3.138,6.038,0.041,0.651,0,0.363,0.013,1
11.402,0.351,16.24,9.288,0.331,0.325,0.127,1.501,8.0,4.851,0.066,0.088,0,0.193,0.464,1
18.166,0.723,12.56,6.943,0.343,0.2,0.462,1.478,3.198,7.538,0.0,0.276,0,0.291,0.413,1
13.292,0.573,11.6,7.229,0.478,-0.003,0.413,1.809,4.38,7.507,0.035,0.316,0,0.547,0.225,1
9.305,0.739,6.3,16.921,-0.185,0.017,0.308,1.596,5.173,18.215,0.005,0.484,1,0.126,0.391,1
14.055,0.658,10.69,14.215,0.391,0.116,0.335,1.327,3.962,12.78,0.058,0.646,0,0.579,0.426,1
21.182,0.899,11.78,8.291,0.34,-0.116,0.464,2.224,4.791,7.456,0.06,0.26,0,-0.154,0.188,1
25.651,0.619,20.72,13.391,0.647,0.051,0.18,1.33,7.406,6.684,0.084,0.814,0,0.074,0.31,1
6.627,0.558,5.94,10.761,0.543,0.112,0.381,1.454,3.82,10.322,0.142,0.374,1,-0.068,0.213,1
18.56,0.874,10.62,12.371,0.123,-0.287,0.455,0.804,1.768,7.72,0.114,0.394,0,0.377,0.432,0
17.787,0.745,11.94,7.713,0.598,0.012,0.083,1.243,8.0,6.289,0.0,0.719,0,-0.255,0.119,1
20.684,0.783,13.21,6.002,0.298,-0.011,0.453,1.858,4.104,6.985,0.11,0.394,1,-0.013,0.495,1
10.618,0.434,12.24,9.261,0.169,0.256,0.099,1.76,8.0,10.155,0.086,0.621,1,-0.551,0.166,1
10.723,0.339,15.83,6.583,0.389,-0.319,0.332,1.9,5.716,3.862,0.075,0.413,0,0.308,0.115,1
31.623,0.458,34.52,6.316,0.309,-0.026,0.175,1.875,8.0,6.249,0.079,0.116,1,0.536,0.512,1
4.32,0.445,4.86,4.847,0.658,-0.046,0.565,2.644,4.682,2.343,0.09,0.596,1,0.419,0.407,1
12.354,0.797,7.75,2.69,0.418,0.242,0.176,1.226,6.949,1.133,0.045,0.146,0,0.384,0.354,1
15.355,0.844,9.1,8.369,0.391,0.041,0.102,0.79,7.712,3.536,0.071,0.784,1,0.394,0.312,1
